nohup: ignoring input
Downloading pydantic-core (2.0MiB)
Downloading wandb (26.0MiB)
 Downloaded pydantic-core
 Downloaded wandb
Installed 11 packages in 28ms
{
  "clean_dir": "div2k/div2k_train",
  "val_clean_dir": null,
  "output": "unet_pretrain.pt",
  "checkpoint_dir": "unet_pretrain/checkpoints",
  "epochs": 100,
  "batch_size": 8,
  "crop_size": 256,
  "noise_sigma": 25.0,
  "lr": 0.0001,
  "weight_decay": 0.0,
  "val_fraction": 0.05,
  "num_workers": 4,
  "seed": 42,
  "save_every": 5
}
train images: 760 | val images: 40
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: kidflash7011 (kidflash7011-chenchi-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run jlwt3ny6
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /home/ubuntu/IP_F/project/wandb/run-20260527_111855-jlwt3ny6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run unet-pretrain-001
wandb: ⭐️ View project at https://wandb.ai/kidflash7011-chenchi-university/ip-final-project
wandb: 🚀 View run at https://wandb.ai/kidflash7011-chenchi-university/ip-final-project/runs/jlwt3ny6
[epoch 001] step 0001/0095 train_mse=0.280635 psnr=5.52dB
[epoch 001] step 0020/0095 train_mse=0.026573 psnr=15.76dB
[epoch 001] step 0040/0095 train_mse=0.014902 psnr=18.27dB
[epoch 001] step 0060/0095 train_mse=0.008766 psnr=20.57dB
[epoch 001] step 0080/0095 train_mse=0.008618 psnr=20.65dB
[epoch 001/100] train_mse=0.020566 train_psnr=16.87dB val_mse=0.009800 val_psnr=20.09dB
[epoch 002] step 0001/0095 train_mse=0.007992 psnr=20.97dB
[epoch 002] step 0020/0095 train_mse=0.008263 psnr=20.83dB
[epoch 002] step 0040/0095 train_mse=0.007022 psnr=21.54dB
[epoch 002] step 0060/0095 train_mse=0.003924 psnr=24.06dB
[epoch 002] step 0080/0095 train_mse=0.005545 psnr=22.56dB
[epoch 002/100] train_mse=0.006352 train_psnr=21.97dB val_mse=0.006911 val_psnr=21.60dB
[epoch 003] step 0001/0095 train_mse=0.005870 psnr=22.31dB
[epoch 003] step 0020/0095 train_mse=0.007599 psnr=21.19dB
[epoch 003] step 0040/0095 train_mse=0.004495 psnr=23.47dB
[epoch 003] step 0060/0095 train_mse=0.004653 psnr=23.32dB
[epoch 003] step 0080/0095 train_mse=0.004831 psnr=23.16dB
[epoch 003/100] train_mse=0.005038 train_psnr=22.98dB val_mse=0.005386 val_psnr=22.69dB
[epoch 004] step 0001/0095 train_mse=0.003700 psnr=24.32dB
[epoch 004] step 0020/0095 train_mse=0.002900 psnr=25.38dB
[epoch 004] step 0040/0095 train_mse=0.004598 psnr=23.37dB
[epoch 004] step 0060/0095 train_mse=0.006457 psnr=21.90dB
[epoch 004] step 0080/0095 train_mse=0.003424 psnr=24.65dB
[epoch 004/100] train_mse=0.003815 train_psnr=24.18dB val_mse=0.004658 val_psnr=23.32dB
[epoch 005] step 0001/0095 train_mse=0.005050 psnr=22.97dB
[epoch 005] step 0020/0095 train_mse=0.002750 psnr=25.61dB
[epoch 005] step 0040/0095 train_mse=0.003057 psnr=25.15dB
[epoch 005] step 0060/0095 train_mse=0.003233 psnr=24.90dB
[epoch 005] step 0080/0095 train_mse=0.005097 psnr=22.93dB
[epoch 005/100] train_mse=0.003687 train_psnr=24.33dB val_mse=0.004285 val_psnr=23.68dB
[epoch 006] step 0001/0095 train_mse=0.002641 psnr=25.78dB
[epoch 006] step 0020/0095 train_mse=0.003010 psnr=25.21dB
[epoch 006] step 0040/0095 train_mse=0.004083 psnr=23.89dB
[epoch 006] step 0060/0095 train_mse=0.001533 psnr=28.14dB
[epoch 006] step 0080/0095 train_mse=0.003051 psnr=25.16dB
[epoch 006/100] train_mse=0.003205 train_psnr=24.94dB val_mse=0.003918 val_psnr=24.07dB
[epoch 007] step 0001/0095 train_mse=0.002220 psnr=26.54dB
[epoch 007] step 0020/0095 train_mse=0.002176 psnr=26.62dB
[epoch 007] step 0040/0095 train_mse=0.003145 psnr=25.02dB
[epoch 007] step 0060/0095 train_mse=0.003503 psnr=24.56dB
[epoch 007] step 0080/0095 train_mse=0.003515 psnr=24.54dB
[epoch 007/100] train_mse=0.003080 train_psnr=25.11dB val_mse=0.003642 val_psnr=24.39dB
[epoch 008] step 0001/0095 train_mse=0.002387 psnr=26.22dB
[epoch 008] step 0020/0095 train_mse=0.002164 psnr=26.65dB
[epoch 008] step 0040/0095 train_mse=0.002676 psnr=25.72dB
[epoch 008] step 0060/0095 train_mse=0.001811 psnr=27.42dB
[epoch 008] step 0080/0095 train_mse=0.004050 psnr=23.93dB
[epoch 008/100] train_mse=0.002864 train_psnr=25.43dB val_mse=0.003430 val_psnr=24.65dB
[epoch 009] step 0001/0095 train_mse=0.002833 psnr=25.48dB
[epoch 009] step 0020/0095 train_mse=0.001922 psnr=27.16dB
[epoch 009] step 0040/0095 train_mse=0.002825 psnr=25.49dB
[epoch 009] step 0060/0095 train_mse=0.002909 psnr=25.36dB
[epoch 009] step 0080/0095 train_mse=0.002860 psnr=25.44dB
[epoch 009/100] train_mse=0.002622 train_psnr=25.81dB val_mse=0.003308 val_psnr=24.80dB
[epoch 010] step 0001/0095 train_mse=0.002559 psnr=25.92dB
[epoch 010] step 0020/0095 train_mse=0.003263 psnr=24.86dB
[epoch 010] step 0040/0095 train_mse=0.003064 psnr=25.14dB
[epoch 010] step 0060/0095 train_mse=0.004015 psnr=23.96dB
[epoch 010] step 0080/0095 train_mse=0.001837 psnr=27.36dB
[epoch 010/100] train_mse=0.002543 train_psnr=25.95dB val_mse=0.003169 val_psnr=24.99dB
[epoch 011] step 0001/0095 train_mse=0.002138 psnr=26.70dB
[epoch 011] step 0020/0095 train_mse=0.003026 psnr=25.19dB
[epoch 011] step 0040/0095 train_mse=0.002325 psnr=26.34dB
[epoch 011] step 0060/0095 train_mse=0.002377 psnr=26.24dB
[epoch 011] step 0080/0095 train_mse=0.001667 psnr=27.78dB
[epoch 011/100] train_mse=0.002452 train_psnr=26.11dB val_mse=0.003038 val_psnr=25.17dB
[epoch 012] step 0001/0095 train_mse=0.003449 psnr=24.62dB
[epoch 012] step 0020/0095 train_mse=0.001712 psnr=27.67dB
[epoch 012] step 0040/0095 train_mse=0.002613 psnr=25.83dB
[epoch 012] step 0060/0095 train_mse=0.005028 psnr=22.99dB
[epoch 012] step 0080/0095 train_mse=0.003386 psnr=24.70dB
[epoch 012/100] train_mse=0.002401 train_psnr=26.20dB val_mse=0.002994 val_psnr=25.24dB
[epoch 013] step 0001/0095 train_mse=0.002622 psnr=25.81dB
[epoch 013] step 0020/0095 train_mse=0.002281 psnr=26.42dB
[epoch 013] step 0040/0095 train_mse=0.001558 psnr=28.08dB
[epoch 013] step 0060/0095 train_mse=0.001775 psnr=27.51dB
[epoch 013] step 0080/0095 train_mse=0.002826 psnr=25.49dB
[epoch 013/100] train_mse=0.002267 train_psnr=26.45dB val_mse=0.002850 val_psnr=25.45dB
[epoch 014] step 0001/0095 train_mse=0.002495 psnr=26.03dB
[epoch 014] step 0020/0095 train_mse=0.001868 psnr=27.29dB
[epoch 014] step 0040/0095 train_mse=0.001770 psnr=27.52dB
[epoch 014] step 0060/0095 train_mse=0.001454 psnr=28.37dB
[epoch 014] step 0080/0095 train_mse=0.002366 psnr=26.26dB
[epoch 014/100] train_mse=0.002254 train_psnr=26.47dB val_mse=0.002771 val_psnr=25.57dB
[epoch 015] step 0001/0095 train_mse=0.001371 psnr=28.63dB
[epoch 015] step 0020/0095 train_mse=0.001800 psnr=27.45dB
[epoch 015] step 0040/0095 train_mse=0.001821 psnr=27.40dB
[epoch 015] step 0060/0095 train_mse=0.001694 psnr=27.71dB
[epoch 015] step 0080/0095 train_mse=0.003173 psnr=24.98dB
[epoch 015/100] train_mse=0.002119 train_psnr=26.74dB val_mse=0.002716 val_psnr=25.66dB
[epoch 016] step 0001/0095 train_mse=0.001588 psnr=27.99dB
[epoch 016] step 0020/0095 train_mse=0.002893 psnr=25.39dB
[epoch 016] step 0040/0095 train_mse=0.002318 psnr=26.35dB
[epoch 016] step 0060/0095 train_mse=0.001388 psnr=28.58dB
[epoch 016] step 0080/0095 train_mse=0.001523 psnr=28.17dB
[epoch 016/100] train_mse=0.002041 train_psnr=26.90dB val_mse=0.002630 val_psnr=25.80dB
[epoch 017] step 0001/0095 train_mse=0.001325 psnr=28.78dB
[epoch 017] step 0020/0095 train_mse=0.001879 psnr=27.26dB
[epoch 017] step 0040/0095 train_mse=0.001807 psnr=27.43dB
[epoch 017] step 0060/0095 train_mse=0.002594 psnr=25.86dB
[epoch 017] step 0080/0095 train_mse=0.002349 psnr=26.29dB
[epoch 017/100] train_mse=0.002091 train_psnr=26.80dB val_mse=0.002569 val_psnr=25.90dB
[epoch 018] step 0001/0095 train_mse=0.003241 psnr=24.89dB
[epoch 018] step 0020/0095 train_mse=0.002701 psnr=25.68dB
[epoch 018] step 0040/0095 train_mse=0.002109 psnr=26.76dB
[epoch 018] step 0060/0095 train_mse=0.002157 psnr=26.66dB
[epoch 018] step 0080/0095 train_mse=0.001075 psnr=29.69dB
[epoch 018/100] train_mse=0.002043 train_psnr=26.90dB val_mse=0.002516 val_psnr=25.99dB
[epoch 019] step 0001/0095 train_mse=0.002066 psnr=26.85dB
[epoch 019] step 0020/0095 train_mse=0.001717 psnr=27.65dB
[epoch 019] step 0040/0095 train_mse=0.001843 psnr=27.35dB
[epoch 019] step 0060/0095 train_mse=0.002177 psnr=26.62dB
[epoch 019] step 0080/0095 train_mse=0.002143 psnr=26.69dB
[epoch 019/100] train_mse=0.001980 train_psnr=27.03dB val_mse=0.002461 val_psnr=26.09dB
[epoch 020] step 0001/0095 train_mse=0.002182 psnr=26.61dB
[epoch 020] step 0020/0095 train_mse=0.001688 psnr=27.73dB
[epoch 020] step 0040/0095 train_mse=0.002302 psnr=26.38dB
[epoch 020] step 0060/0095 train_mse=0.001486 psnr=28.28dB
[epoch 020] step 0080/0095 train_mse=0.002435 psnr=26.13dB
[epoch 020/100] train_mse=0.001937 train_psnr=27.13dB val_mse=0.002425 val_psnr=26.15dB
[epoch 021] step 0001/0095 train_mse=0.002062 psnr=26.86dB
[epoch 021] step 0020/0095 train_mse=0.001129 psnr=29.47dB
[epoch 021] step 0040/0095 train_mse=0.001534 psnr=28.14dB
[epoch 021] step 0060/0095 train_mse=0.001826 psnr=27.38dB
[epoch 021] step 0080/0095 train_mse=0.001417 psnr=28.49dB
[epoch 021/100] train_mse=0.001977 train_psnr=27.04dB val_mse=0.002410 val_psnr=26.18dB
[epoch 022] step 0001/0095 train_mse=0.001437 psnr=28.42dB
[epoch 022] step 0020/0095 train_mse=0.002341 psnr=26.31dB
[epoch 022] step 0040/0095 train_mse=0.001524 psnr=28.17dB
[epoch 022] step 0060/0095 train_mse=0.001338 psnr=28.74dB
[epoch 022] step 0080/0095 train_mse=0.001778 psnr=27.50dB
[epoch 022/100] train_mse=0.001882 train_psnr=27.25dB val_mse=0.002350 val_psnr=26.29dB
[epoch 023] step 0001/0095 train_mse=0.002556 psnr=25.92dB
[epoch 023] step 0020/0095 train_mse=0.001796 psnr=27.46dB
[epoch 023] step 0040/0095 train_mse=0.001750 psnr=27.57dB
[epoch 023] step 0060/0095 train_mse=0.002298 psnr=26.39dB
[epoch 023] step 0080/0095 train_mse=0.001876 psnr=27.27dB
[epoch 023/100] train_mse=0.001859 train_psnr=27.31dB val_mse=0.002282 val_psnr=26.42dB
[epoch 024] step 0001/0095 train_mse=0.001725 psnr=27.63dB
[epoch 024] step 0020/0095 train_mse=0.001165 psnr=29.34dB
[epoch 024] step 0040/0095 train_mse=0.001218 psnr=29.14dB
[epoch 024] step 0060/0095 train_mse=0.001238 psnr=29.07dB
[epoch 024] step 0080/0095 train_mse=0.001398 psnr=28.54dB
[epoch 024/100] train_mse=0.001804 train_psnr=27.44dB val_mse=0.002265 val_psnr=26.45dB
[epoch 025] step 0001/0095 train_mse=0.001285 psnr=28.91dB
[epoch 025] step 0020/0095 train_mse=0.002552 psnr=25.93dB
[epoch 025] step 0040/0095 train_mse=0.002389 psnr=26.22dB
[epoch 025] step 0060/0095 train_mse=0.001429 psnr=28.45dB
[epoch 025] step 0080/0095 train_mse=0.001687 psnr=27.73dB
